                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.35936,                0.33625,                0.34406,                0.85926,                0.99844,                      1,                  0.995,                0.97695,                0.99844,                      1,                  0.995,                0.98465,                0.27706,                0.29012,                0.31082,                0.78842,              0.0006932,              0.0006932,              0.0006932
                     69,                0.29549,                0.31524,                0.30056,                0.82233,                0.99839,                      1,                  0.995,                0.97139,                0.99839,                      1,                  0.995,                0.98243,                  0.292,                0.28796,                0.32114,                0.79689,              0.0006734,              0.0006734,              0.0006734
                     70,                0.36072,                0.35012,                0.34531,                0.87477,                0.99834,                      1,                  0.995,                0.96833,                0.99834,                      1,                  0.995,                0.97537,                0.30071,                0.28446,                0.38345,                 0.7633,              0.0006536,              0.0006536,              0.0006536
                     71,                0.30678,                0.31225,                0.30106,                0.83417,                0.99838,                      1,                  0.995,                0.98867,                0.99838,                      1,                  0.995,                 0.9836,                0.26161,                0.26145,                 0.3651,                0.76218,              0.0006338,              0.0006338,              0.0006338
                     72,                0.32551,                 0.3515,                0.32374,                0.84346,                0.99854,                      1,                  0.995,                0.97845,                0.99854,                      1,                  0.995,                0.98309,                0.27247,                0.26115,                 0.3338,                0.77766,               0.000614,               0.000614,               0.000614
                     73,                0.35032,                0.37552,                0.32496,                0.85422,                0.99853,                      1,                  0.995,                0.97867,                0.99853,                      1,                  0.995,                0.98528,                 0.2551,                0.26143,                0.33228,                0.77112,              0.0005942,              0.0005942,              0.0005942
                     74,                0.30429,                 0.3405,                  0.319,                0.84566,                0.99857,                      1,                  0.995,                0.98279,                0.99857,                      1,                  0.995,                0.98623,                0.23803,                0.26017,                0.31148,                0.75761,              0.0005744,              0.0005744,              0.0005744
                     75,                0.34315,                0.38599,                0.32977,                0.85251,                0.99833,                      1,                  0.995,                0.97376,                0.99833,                      1,                  0.995,                 0.9859,                0.27807,                 0.2676,                 0.3048,                0.76529,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.3456,                0.33995,                0.32752,                0.85766,                0.99673,                      1,                  0.995,                0.97376,                0.99673,                      1,                  0.995,                0.98164,                0.27414,                0.25636,                0.29828,                0.75664,              0.0005348,              0.0005348,              0.0005348
                     77,                0.32634,                0.35638,                0.31008,                0.86052,                0.99586,                      1,                  0.995,                0.96753,                0.99586,                      1,                  0.995,                0.98145,                0.26452,                 0.2491,                0.30373,                0.75242,               0.000515,               0.000515,               0.000515
                     78,                0.28859,                 0.2816,                0.28552,                0.84007,                0.99503,                      1,                  0.995,                0.97639,                0.99503,                      1,                  0.995,                0.98512,                 0.2452,                0.23954,                0.27491,                0.74808,              0.0004952,              0.0004952,              0.0004952
                     79,                0.30317,                0.44808,                0.30252,                0.84494,                0.99313,                      1,                  0.995,                0.98356,                0.99313,                      1,                  0.995,                0.98656,                0.24185,                0.24225,                0.23897,                0.74945,              0.0004754,              0.0004754,              0.0004754
                     80,                0.32392,                0.36106,                0.30238,                0.82108,                0.99402,                      1,                  0.995,                0.97994,                0.99402,                      1,                  0.995,                0.98433,                0.24844,                 0.2431,                0.22276,                0.74752,              0.0004556,              0.0004556,              0.0004556
                     81,                0.30364,                 0.3031,                0.29067,                0.84241,                0.99344,                      1,                  0.995,                0.98496,                0.99344,                      1,                  0.995,                0.98766,                0.22009,                0.24384,                0.20927,                0.74169,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.3018,                0.31554,                0.28715,                0.83843,                0.99423,                      1,                  0.995,                0.99233,                0.99423,                      1,                  0.995,                0.99277,                0.20913,                0.25192,                 0.2061,                0.74203,               0.000416,               0.000416,               0.000416
                     83,                0.29563,                0.32116,                0.29021,                0.85836,                 0.9952,                      1,                  0.995,                 0.9902,                 0.9952,                      1,                  0.995,                0.99293,                 0.2338,                0.25919,                0.21755,                0.74729,              0.0003962,              0.0003962,              0.0003962
                     84,                0.32188,                0.32012,                0.30685,                0.85643,                0.99681,                      1,                  0.995,                0.99229,                0.99681,                      1,                  0.995,                0.99084,                0.20688,                0.25899,                0.20055,                0.74525,              0.0003764,              0.0003764,              0.0003764
                     85,                0.27185,                0.31867,                  0.268,                0.84358,                0.99791,                      1,                  0.995,                0.99217,                0.99791,                      1,                  0.995,                0.99306,                0.20562,                0.25779,                0.19818,                0.74496,              0.0003566,              0.0003566,              0.0003566
                     86,                0.27779,                0.31247,                0.27245,                0.81727,                0.99874,                      1,                  0.995,                0.98793,                0.99874,                      1,                  0.995,                0.98835,                0.19906,                0.24923,                0.18966,                0.74212,              0.0003368,              0.0003368,              0.0003368
                     87,                0.24681,                0.26289,                0.24769,                0.81912,                0.99888,                      1,                  0.995,                0.98798,                0.99888,                      1,                  0.995,                0.98922,                 0.1912,                0.24167,                 0.1821,                0.74049,               0.000317,               0.000317,               0.000317
                     88,                0.28603,                0.30358,                0.27467,                0.84584,                0.99886,                      1,                  0.995,                0.99286,                0.99886,                      1,                  0.995,                0.98896,                0.19651,                0.24507,                0.17573,                0.74181,              0.0002972,              0.0002972,              0.0002972
                     89,                0.26873,                0.29669,                0.25944,                0.84493,                0.99887,                      1,                  0.995,                 0.9929,                0.99887,                      1,                  0.995,                0.98909,                0.19979,                0.24703,                0.18143,                0.74248,              0.0002774,              0.0002774,              0.0002774
                     90,                0.25923,                0.29984,                0.24646,                 0.8336,                0.99888,                      1,                  0.995,                  0.995,                0.99888,                      1,                  0.995,                0.98917,                0.21605,                0.24744,                0.18973,                0.74443,              0.0002576,              0.0002576,              0.0002576
                     91,                0.25432,                0.24978,                0.31471,                0.82417,                0.99885,                      1,                  0.995,                 0.9863,                0.99885,                      1,                  0.995,                0.98611,                0.21612,                0.25028,                0.18595,                0.74438,              0.0002378,              0.0002378,              0.0002378
                     92,                0.21531,                0.23433,                 0.2817,                0.78672,                0.99884,                      1,                  0.995,                0.98943,                0.99884,                      1,                  0.995,                0.98818,                0.20132,                0.25371,                0.19879,                 0.7403,               0.000218,               0.000218,               0.000218
                     93,                0.24612,                0.23459,                0.31654,                0.82604,                0.99885,                      1,                  0.995,                 0.9926,                0.99885,                      1,                  0.995,                0.98832,                0.19112,                0.25433,                0.20518,                 0.7385,              0.0001982,              0.0001982,              0.0001982
